comm,strategy,contract,lot
cf,tst0_zzcf_night,CF005,5
cf,tst1_zzcf_night,CF005,2
cf,tst2_zzcf_night,CF005,2
cf,xpv2_zzcf_night,CF005,3
sa,hv3_zzsa_night,SA005,2
sa,hv5_zzsa_night,SA005,2
sr,hv8_zzsr_night,SR005,2
sr,hv9_zzsr_night,SR005,2
ta,tst1_zzta_night,TA005,5
ta,tst2_zzta_night,TA005,1
ta,tst6_zzta_night,TA005,5
ta,tst9_zzta_night,TA005,1
zc,hv9_zzzc_night,ZC005,1
zc,tst0_zzzc_night,ZC005,3
zc,tst6_zzzc_night,ZC005,2
zc,tst8_zzzc_night,ZC005,1
zc,xpv1_zzzc_night,ZC005,2
